full_text,cleasing,case_folding,tokenize,Filtering/stopword removal,stemming_data,sentiment
@ARSIPAJA Futuristik sih tapi apa gk macet tuh kalau tiap bingung ada mobil berhenti buat tanya ke tiang listrik,Futuristik sih tapi apa gk macet tuh kalau tiap bingung ada mobil berhenti buat tanya ke tiang listrik,futuristik sih tapi apa gk macet tuh kalau tiap bingung ada mobil berhenti buat tanya ke tiang listrik,"['futuristik', 'sih', 'tapi', 'apa', 'gk', 'macet', 'tuh', 'kalau', 'tiap', 'bingung', 'ada', 'mobil', 'berhenti', 'buat', 'tanya', 'ke', 'tiang', 'listrik']","['futuristik', 'sih', 'gk', 'macet', 'tuh', 'bingung', 'mobil', 'berhenti', 'tiang', 'listrik']",futuristik sih gk macet tuh bingung mobil henti tiang listrik,1
@kompascom Sosok manusia mantan jenderal yg mendegradasi kemampuan anak2 bumi Pertiwi. Jangankan hanya garmen mobil listrik dan panel Surya hasil dan produk tercanggih pun Indonesia bisa buat Apa yg tdk bisa dibuat oleh rakyat Indonesia yg jago berinovasi tinggal support pemerintah saja,Sosok manusia mantan jenderal yg mendegradasi kemampuan anak bumi Pertiwi Jangankan hanya garmen mobil listrik dan panel Surya hasil dan produk tercanggih pun Indonesia bisa buat Apa yg tdk bisa dibuat oleh rakyat Indonesia yg jago berinovasi tinggal support pemerintah saja,sosok manusia mantan jenderal yg mendegradasi kemampuan anak bumi pertiwi jangankan hanya garmen mobil listrik dan panel surya hasil dan produk tercanggih pun indonesia bisa buat apa yg tdk bisa dibuat oleh rakyat indonesia yg jago berinovasi tinggal support pemerintah saja,"['sosok', 'manusia', 'mantan', 'jenderal', 'yg', 'mendegradasi', 'kemampuan', 'anak', 'bumi', 'pertiwi', 'jangankan', 'hanya', 'garmen', 'mobil', 'listrik', 'dan', 'panel', 'surya', 'hasil', 'dan', 'produk', 'tercanggih', 'pun', 'indonesia', 'bisa', 'buat', 'apa', 'yg', 'tdk', 'bisa', 'dibuat', 'oleh', 'rakyat', 'indonesia', 'yg', 'jago', 'berinovasi', 'tinggal', 'support', 'pemerintah', 'saja']","['sosok', 'manusia', 'mantan', 'jenderal', 'yg', 'mendegradasi', 'kemampuan', 'anak', 'bumi', 'pertiwi', 'garmen', 'mobil', 'listrik', 'panel', 'surya', 'hasil', 'produk', 'tercanggih', 'indonesia', 'yg', 'tdk', 'rakyat', 'indonesia', 'yg', 'jago', 'berinovasi', 'tinggal', 'support', 'pemerintah']",sosok manusia mantan jenderal yg degradasi mampu anak bumi pertiwi garmen mobil listrik panel surya hasil produk canggih indonesia yg tdk rakyat indonesia yg jago inovasi tinggal support perintah,1
@ridwanhr Orang China sendiri bahkan ga terlalu minat sama mobil listrik kyk gini,Orang China sendiri bahkan ga terlalu minat sama mobil listrik kyk gini,orang china sendiri bahkan ga terlalu minat sama mobil listrik kyk gini,"['orang', 'china', 'sendiri', 'bahkan', 'ga', 'terlalu', 'minat', 'sama', 'mobil', 'listrik', 'kyk', 'gini']","['orang', 'china', 'ga', 'minat', 'mobil', 'listrik', 'kyk', 'gini']",orang china ga minat mobil listrik kyk gin,1
@ridwanhr Desain nya jelek banget sih asli menurut gw. Dah gitu harganya mepet-mepet ke harga Mobil Listrik yang beneran proper sebagai mobil listrik juga Wkwkwk,Desain nya jelek banget sih asli menurut gw Dah gitu harganya mepetmepet ke harga Mobil Listrik yang beneran proper sebagai mobil listrik juga Wkwkwk,desain nya jelek banget sih asli menurut gw dah gitu harganya mepetmepet ke harga mobil listrik yang beneran proper sebagai mobil listrik juga wkwkwk,"['desain', 'nya', 'jelek', 'banget', 'sih', 'asli', 'menurut', 'gw', 'dah', 'gitu', 'harganya', 'mepetmepet', 'ke', 'harga', 'mobil', 'listrik', 'yang', 'beneran', 'proper', 'sebagai', 'mobil', 'listrik', 'juga', 'wkwkwk']","['desain', 'nya', 'jelek', 'banget', 'sih', 'asli', 'gw', 'dah', 'gitu', 'harganya', 'mepetmepet', 'harga', 'mobil', 'listrik', 'beneran', 'proper', 'mobil', 'listrik', 'wkwkwk']",desain nya jelek banget sih asli gw dah gitu harga mepetmepet harga mobil listrik beneran proper mobil listrik wkwkwk,1
@ridwanhr Ini Mobil Mainan Alibaba kok berani banget jualan produknya di mari dah gitu harganya mirip-mirip dengan mobil listrik yang bener² proper mobil listrik wkwkwk,Ini Mobil Mainan Alibaba kok berani banget jualan produknya di mari dah gitu harganya miripmirip dengan mobil listrik yang bener proper mobil listrik wkwkwk,ini mobil mainan alibaba kok berani banget jualan produknya di mari dah gitu harganya miripmirip dengan mobil listrik yang bener proper mobil listrik wkwkwk,"['ini', 'mobil', 'mainan', 'alibaba', 'kok', 'berani', 'banget', 'jualan', 'produknya', 'di', 'mari', 'dah', 'gitu', 'harganya', 'miripmirip', 'dengan', 'mobil', 'listrik', 'yang', 'bener', 'proper', 'mobil', 'listrik', 'wkwkwk']","['mobil', 'mainan', 'alibaba', 'berani', 'banget', 'jualan', 'produknya', 'mari', 'dah', 'gitu', 'harganya', 'miripmirip', 'mobil', 'listrik', 'bener', 'proper', 'mobil', 'listrik', 'wkwkwk']",mobil main alibaba berani banget jual produk mari dah gitu harga miripmirip mobil listrik bener proper mobil listrik wkwkwk,1
@lovebyvanilla @tanyakanrl Nga soalna si bapak itu duduk adem di mobil listrik na dia,Nga soalna si bapak itu duduk adem di mobil listrik na dia,nga soalna si bapak itu duduk adem di mobil listrik na dia,"['nga', 'soalna', 'si', 'bapak', 'itu', 'duduk', 'adem', 'di', 'mobil', 'listrik', 'na', 'dia']","['nga', 'soalna', 'si', 'duduk', 'adem', 'mobil', 'listrik', 'na']",nga soalna si duduk adem mobil listrik na,1
@txtdrberseragam pke mobil listrik biar lebih cuan,pke mobil listrik biar lebih cuan,pke mobil listrik biar lebih cuan,"['pke', 'mobil', 'listrik', 'biar', 'lebih', 'cuan']","['pke', 'mobil', 'listrik', 'biar', 'cuan']",pke mobil listrik biar cuan,1
@detikcom Dikarenakan banyak tiang listrik akhirnya mobil terbang batal diadakan di IKN,Dikarenakan banyak tiang listrik akhirnya mobil terbang batal diadakan di IKN,dikarenakan banyak tiang listrik akhirnya mobil terbang batal diadakan di ikn,"['dikarenakan', 'banyak', 'tiang', 'listrik', 'akhirnya', 'mobil', 'terbang', 'batal', 'diadakan', 'di', 'ikn']","['tiang', 'listrik', 'mobil', 'terbang', 'batal', 'diadakan', 'ikn']",tiang listrik mobil terbang batal ada ikn,1
@ARSIPAJA KATANYA KOTA CANGGIH. PAKE MOBIL TERBANG SEGALA KOK MASIH ADA TIANG LISTRIK ANJIR GOBLOK,KATANYA KOTA CANGGIH PAKE MOBIL TERBANG SEGALA KOK MASIH ADA TIANG LISTRIK ANJIR GOBLOK,katanya kota canggih pake mobil terbang segala kok masih ada tiang listrik anjir goblok,"['katanya', 'kota', 'canggih', 'pake', 'mobil', 'terbang', 'segala', 'kok', 'masih', 'ada', 'tiang', 'listrik', 'anjir', 'goblok']","['kota', 'canggih', 'pake', 'mobil', 'terbang', 'tiang', 'listrik', 'anjir', 'goblok']",kota canggih pake mobil terbang tiang listrik anjir goblok,1
@GP_1508 Mobil terbang angkot terbang tiang listrik penunjuk arah fiksional amat sih pemikirannya permasalahan akut macam pemerataan akses transum jalur KA ketenagakerjaan dll masih amburadul malah cosplay Mao Zedong mau bikin The Great Leap Forward part 2 kyk nya,Mobil terbang angkot terbang tiang listrik penunjuk arah fiksional amat sih pemikirannya permasalahan akut macam pemerataan akses transum jalur KA ketenagakerjaan dll masih amburadul malah cosplay Mao Zedong mau bikin The Great Leap Forward part  kyk nya,mobil terbang angkot terbang tiang listrik penunjuk arah fiksional amat sih pemikirannya permasalahan akut macam pemerataan akses transum jalur ka ketenagakerjaan dll masih amburadul malah cosplay mao zedong mau bikin the great leap forward part  kyk nya,"['mobil', 'terbang', 'angkot', 'terbang', 'tiang', 'listrik', 'penunjuk', 'arah', 'fiksional', 'amat', 'sih', 'pemikirannya', 'permasalahan', 'akut', 'macam', 'pemerataan', 'akses', 'transum', 'jalur', 'ka', 'ketenagakerjaan', 'dll', 'masih', 'amburadul', 'malah', 'cosplay', 'mao', 'zedong', 'mau', 'bikin', 'the', 'great', 'leap', 'forward', 'part', 'kyk', 'nya']","['mobil', 'terbang', 'angkot', 'terbang', 'tiang', 'listrik', 'penunjuk', 'arah', 'fiksional', 'sih', 'pemikirannya', 'permasalahan', 'akut', 'pemerataan', 'akses', 'transum', 'jalur', 'ka', 'ketenagakerjaan', 'dll', 'amburadul', 'cosplay', 'mao', 'zedong', 'bikin', 'the', 'great', 'leap', 'forward', 'part', 'kyk', 'nya']",mobil terbang angkot terbang tiang listrik tunjuk arah fiksional sih pikir masalah akut perata akses transum jalur ka ketenagakerjaan dll amburadul cosplay mao zedong bikin the great leap forward part kyk nya,1
@ARSIPAJA Kendaraanya mobil terbang tp masih ada tiang listrik gwe cuma takut mobil nyangkut dikabel listrik.....,Kendaraanya mobil terbang tp masih ada tiang listrik gwe cuma takut mobil nyangkut dikabel listrik,kendaraanya mobil terbang tp masih ada tiang listrik gwe cuma takut mobil nyangkut dikabel listrik,"['kendaraanya', 'mobil', 'terbang', 'tp', 'masih', 'ada', 'tiang', 'listrik', 'gwe', 'cuma', 'takut', 'mobil', 'nyangkut', 'dikabel', 'listrik']","['kendaraanya', 'mobil', 'terbang', 'tp', 'tiang', 'listrik', 'gwe', 'takut', 'mobil', 'nyangkut', 'dikabel', 'listrik']",kendaraanya mobil terbang tp tiang listrik gwe takut mobil nyangkut kabel listrik,1
@ARSIPAJA Mobil terbang Tiang Listrik Bisa Jawab Arah Parkir Air Sumur Resapan,Mobil terbang Tiang Listrik Bisa Jawab Arah Parkir Air Sumur Resapan,mobil terbang tiang listrik bisa jawab arah parkir air sumur resapan,"['mobil', 'terbang', 'tiang', 'listrik', 'bisa', 'jawab', 'arah', 'parkir', 'air', 'sumur', 'resapan']","['mobil', 'terbang', 'tiang', 'listrik', 'arah', 'parkir', 'air', 'sumur', 'resapan']",mobil terbang tiang listrik arah parkir air sumur resap,1
@ARSIPAJA Mobil terbang masih bisa dimaklumi kalo tiang listrik bisa jawab ini gimana y apa mungkin yang dimaksud itu cctv,Mobil terbang masih bisa dimaklumi kalo tiang listrik bisa jawab ini gimana y apa mungkin yang dimaksud itu cctv,mobil terbang masih bisa dimaklumi kalo tiang listrik bisa jawab ini gimana y apa mungkin yang dimaksud itu cctv,"['mobil', 'terbang', 'masih', 'bisa', 'dimaklumi', 'kalo', 'tiang', 'listrik', 'bisa', 'jawab', 'ini', 'gimana', 'y', 'apa', 'mungkin', 'yang', 'dimaksud', 'itu', 'cctv']","['mobil', 'terbang', 'dimaklumi', 'kalo', 'tiang', 'listrik', 'gimana', 'y', 'cctv']",mobil terbang maklum kalo tiang listrik gimana y cctv,1
@ARSIPAJA mobil terbang tapi masih ada tiang listrik? sebego itukah,mobil terbang tapi masih ada tiang listrik sebego itukah,mobil terbang tapi masih ada tiang listrik sebego itukah,"['mobil', 'terbang', 'tapi', 'masih', 'ada', 'tiang', 'listrik', 'sebego', 'itukah']","['mobil', 'terbang', 'tiang', 'listrik', 'sebego']",mobil terbang tiang listrik bego,1
@sonswsw @MorphoMenelausX Kan katanya mau bikin jalan tol tp mobil listrik doang yg bole naek,Kan katanya mau bikin jalan tol tp mobil listrik doang yg bole naek,kan katanya mau bikin jalan tol tp mobil listrik doang yg bole naek,"['kan', 'katanya', 'mau', 'bikin', 'jalan', 'tol', 'tp', 'mobil', 'listrik', 'doang', 'yg', 'bole', 'naek']","['bikin', 'jalan', 'tol', 'tp', 'mobil', 'listrik', 'doang', 'yg', 'bole', 'naek']",bikin jalan tol tp mobil listrik doang yg bole naek,1
@detikcom Apa gak takut klo mobil terbangnya nyangkut di tiang listrik?,Apa gak takut klo mobil terbangnya nyangkut di tiang listrik,apa gak takut klo mobil terbangnya nyangkut di tiang listrik,"['apa', 'gak', 'takut', 'klo', 'mobil', 'terbangnya', 'nyangkut', 'di', 'tiang', 'listrik']","['gak', 'takut', 'klo', 'mobil', 'terbangnya', 'nyangkut', 'tiang', 'listrik']",gak takut klo mobil terbang nyangkut tiang listrik,1
@FlareUp_9 @innovacommunity Betul apalagi sekarang kompetitor mobil listrik china dah mulai masuk ke indo.. Mana harganya lebih murah ketimbang mobil hybrid toyota lagi wkwkwk,Betul apalagi sekarang kompetitor mobil listrik china dah mulai masuk ke indo Mana harganya lebih murah ketimbang mobil hybrid toyota lagi wkwkwk,betul apalagi sekarang kompetitor mobil listrik china dah mulai masuk ke indo mana harganya lebih murah ketimbang mobil hybrid toyota lagi wkwkwk,"['betul', 'apalagi', 'sekarang', 'kompetitor', 'mobil', 'listrik', 'china', 'dah', 'mulai', 'masuk', 'ke', 'indo', 'mana', 'harganya', 'lebih', 'murah', 'ketimbang', 'mobil', 'hybrid', 'toyota', 'lagi', 'wkwkwk']","['kompetitor', 'mobil', 'listrik', 'china', 'dah', 'masuk', 'indo', 'harganya', 'murah', 'ketimbang', 'mobil', 'hybrid', 'toyota', 'wkwkwk']",kompetitor mobil listrik china dah masuk indo harga murah ketimbang mobil hybrid toyota wkwkwk,1
@detikcom Mobil terbang kalo kepentok tiang listrik rusak,Mobil terbang kalo kepentok tiang listrik rusak,mobil terbang kalo kepentok tiang listrik rusak,"['mobil', 'terbang', 'kalo', 'kepentok', 'tiang', 'listrik', 'rusak']","['mobil', 'terbang', 'kalo', 'kepentok', 'tiang', 'listrik', 'rusak']",mobil terbang kalo kepentok tiang listrik rusak,1
@ARSIPAJA Pake tiang listrik? Fix mobil terbang cuman hayalan,Pake tiang listrik Fix mobil terbang cuman hayalan,pake tiang listrik fix mobil terbang cuman hayalan,"['pake', 'tiang', 'listrik', 'fix', 'mobil', 'terbang', 'cuman', 'hayalan']","['pake', 'tiang', 'listrik', 'fix', 'mobil', 'terbang', 'cuman', 'hayalan']",pake tiang listrik fix mobil terbang cuman hayalan,1
@maulanafikri455 Bayangin balap mobil listrik. Cuma suara ban ga ada suada revvingnya.,Bayangin balap mobil listrik Cuma suara ban ga ada suada revvingnya,bayangin balap mobil listrik cuma suara ban ga ada suada revvingnya,"['bayangin', 'balap', 'mobil', 'listrik', 'cuma', 'suara', 'ban', 'ga', 'ada', 'suada', 'revvingnya']","['bayangin', 'balap', 'mobil', 'listrik', 'suara', 'ban', 'ga', 'suada', 'revvingnya']",bayangin balap mobil listrik suara ban ga suada revvingnya,1
@MorphoMenelausX Punya mobil? harus listrik lho di sana,Punya mobil harus listrik lho di sana,punya mobil harus listrik lho di sana,"['punya', 'mobil', 'harus', 'listrik', 'lho', 'di', 'sana']","['mobil', 'listrik', 'lho']",mobil listrik lho,1
@ARSIPAJA Tiang listrik sama mobil terbang ..terserahlah anda kan penguasa,Tiang listrik sama mobil terbang terserahlah anda kan penguasa,tiang listrik sama mobil terbang terserahlah anda kan penguasa,"['tiang', 'listrik', 'sama', 'mobil', 'terbang', 'terserahlah', 'anda', 'kan', 'penguasa']","['tiang', 'listrik', 'mobil', 'terbang', 'terserahlah', 'penguasa']",tiang listrik mobil terbang serah kuasa,1
@ARSIPAJA Yuk genjot ppn 12% buat beli mobil listrik,Yuk genjot ppn  buat beli mobil listrik,yuk genjot ppn  buat beli mobil listrik,"['yuk', 'genjot', 'ppn', 'buat', 'beli', 'mobil', 'listrik']","['yuk', 'genjot', 'ppn', 'beli', 'mobil', 'listrik']",yuk genjot ppn beli mobil listrik,1
@detikcom Duh ngeri amat ada mobil terbang nya tapi masi ada tiang listrik plus kabel listrik seliweran gtu bikin peer take off landing gak sih ???,Duh ngeri amat ada mobil terbang nya tapi masi ada tiang listrik plus kabel listrik seliweran gtu bikin peer take off landing gak sih,duh ngeri amat ada mobil terbang nya tapi masi ada tiang listrik plus kabel listrik seliweran gtu bikin peer take off landing gak sih,"['duh', 'ngeri', 'amat', 'ada', 'mobil', 'terbang', 'nya', 'tapi', 'masi', 'ada', 'tiang', 'listrik', 'plus', 'kabel', 'listrik', 'seliweran', 'gtu', 'bikin', 'peer', 'take', 'off', 'landing', 'gak', 'sih']","['duh', 'ngeri', 'mobil', 'terbang', 'nya', 'masi', 'tiang', 'listrik', 'plus', 'kabel', 'listrik', 'seliweran', 'gtu', 'bikin', 'peer', 'take', 'off', 'landing', 'gak', 'sih']",duh ngeri mobil terbang nya mas tiang listrik plus kabel listrik seliwer gtu bikin peer take off landing gak sih,1
